Artist	Music	Lyrics	Compilation	Title	Type	State	File	Comments	Archive	Original	Genre	Misc. info	Misc. 2	Language	Category	Artist 2	Length	Song start	Song end	Intro	Voice out	Loop start	Loop end	Refrain start	Refrain end	Fade in	Fade out	Hot start	Mix in	Flags	Vote	Volume	Period	Media	Attribute	Tempo	Mood	Energy	Bitrate	File format	BPM	Last date played	Last time played	Last type modification	Folder	CRC	CRCTime
DZENAN  LONCAREVIC				NIJE MI STALO	MILENIUM 00-08		30000047.MPG								MILENIUM 00-08		2:59.200	0:00.000	2:56.724	0:28.267									2:55.622	0		65		A					192	MPEG L3-44SP					-31568	-961150052	1141076221
DZENAN LONCAREVIC				NE BUDI ME	RECURENT 08-14		30001468.MPG								RECURENT 08-14		3:57.900	0:00.000	3:54.042	0:13.256									3:52.141	0		62		A					320	MPEG L3-44JP					-31568	923515926	1243614981
DZENAN LONCAREVIC				OPROSTI MI	RECURENT 08-14		30001903.MPG								RECURENT 08-14		4:05.232	0:00.100	3:59.154	0:18.489									3:55.939	0		62		A					320	MPEG L3-48J					-31568	-876710202	1365148185
DZENAN LONCAREVIC				LUDUJEM	RECURENT 08-14		30001384.MPG								RECURENT 08-14		3:09.521	0:00.000	3:05.777	0:16.888									3:01.312	0		63		A					320	MPEG L3-44JP					-31568	655538246	1268767510
DZENAN LONCAREVIC				NAJBOLJA	RECURENT 08-14		30001902.MPG								RECURENT 08-14		4:59.664	0:00.798	4:52.923	0:16.699									4:47.213	0		64		A					320	MPEG L3-48J					-31568	168256054	1365148174
DZENAN LONCAREVIC				RODJENDAN	RECURENT 08-14		30001904.MPG								RECURENT 08-14		3:35.112	0:00.000	3:28.365	0:24.855									3:27.395	0		64		A					320	MPEG L3-48J					-31568	-1860265687	1365148191
DZENAN LONCAREVIC				IDI BILO KOME	RECURENT 08-14		30001429.MPG								RECURENT 08-14		4:18.928	0:00.000	4:12.931	0:45.621									4:10.279	0		64		A					320	MPEG L3-44JP					-31568	1353137184	1243614954
DZENAN LONCAREVIC				NIKOME NI REC	RECURENT 08-14		30001888.MPG								RECURENT 08-14		3:23.867	0:00.000	3:23.867	0:26.808									3:20.941	0		61		A					128	MPEG L3-44JP					-31568	446955294	1183520604
DZENAN LONCHIC				KAP U MORE	RECURENT 08-14		30001910.MPG								RECURENT 08-14		3:56.725	0:00.000	3:55.941	0:29.583									3:55.335	0		63		A					256	MPEG L3-44SP					-31568	1711248927	1340379866
EDDY GRANT				I DON'T WANNA DANCE	80		30002574.MPG								80		3:39.932	0:00.430	3:36.598	0:02.067									3:31.420	0				A					128	MPEG L3-44JP				13/11/2014	-31568	-1809132931	1032208202
EDDY GRANT				GIMME HOPE JOANNA	80		30002544.MPG								80		3:46.359	0:00.370	3:42.866	0:14.700									3:41.197	0				A					128	MPEG L3-44JP				20/11/2014	-31568	2041368250	1032204872
EDI				JOS TESKO DISEM	RECURENT 08-14		30001911.MPG								RECURENT 08-14		3:16.035	0:00.863	3:12.195	0:16.143									3:10.990	0		64		A					192	MPEG L3-44JP					-31568	-1299810055	1271543572
EDO MULAHALILOVIC				A STA CU JA	90		30000306.MPG								90		3:39.167	0:00.000	3:32.200	0:32.687									3:26.542	0		70		A					160	MPEG L3-44JP					-31568	-180705893	1071318048
ED SHEERAN				SING	RECURENT 08-14		30002799.MPG								RECURENT 08-14		3:52.180	0:00.000	3:52.102	0:07.136									3:51.760	0				A						WAVE-44S				20/11/2014	-31568	-1294259555	1416474962
EKSTRA NENA				SAMO JEDNO RECI	RECURENT 08-14		30001912.MPG								RECURENT 08-14		4:13.805	0:00.000	4:08.969	0:26.207									4:03.561	0		67		A					192	MPEG L3-44JP					-31568	1114920626	1223009589
EKV				PAR GODINA ZA NAS	80		30000308.MPG								80		4:10.713	0:00.000	4:06.559	0:20.606									4:03.381	0		66		A					128	MPEG L3-44JP					-31568	-1013449254	950484796
EKV				ZEMLJA	80		30000309.MPG								80		3:58.488	0:00.000	3:54.607	0:16.771									3:50.414	0		70		A					128	MPEG L3-44JP					-31568	-2082413998	950482954
EKV				KRUG	80		30000307.MPG								80		3:09.717	0:00.000	3:06.283	0:20.775									3:05.469	0		65		A					128	MPEG L3-44JP					-31568	-21509129	950484300
ELEKTRICNI ORGAZAM				BEJBE, TI NISI TU	80		30000310.MPG								80		3:35.484	0:00.573	3:32.561	0:15.230									3:28.588	0		73		A					128	MPEG L3-44J					-31568	-1410887280	917485550
ELEKTRICNI ORGAZAM				DA SI TAKO JAKA	90		30000311.MPG								90		4:55.923	0:00.000	4:46.767	0:14.550									4:42.766	0		71		A					128	MPEG L3-44JP					-31568	1246108674	1018810328
ELEMENT				RIJEKA BEZ POVRATKA	MILENIUM 00-08		30000039.MPG								MILENIUM 00-08		2:59.696	0:00.000	2:58.549	0:06.993									2:56.930	0		62		A					128	MPEG L3-44SP					-31568	867737422	1077711387
ELENA				NE MOGU	RECURENT 08-14		30001656.MPG								RECURENT 08-14		3:34.021	0:00.000	3:34.021	0:31.218									3:31.424	0		61		A					128	MPEG L3-44JP					-31568	1201976843	1203974616
ELENA				USNE BOJE TAMNOG MASTILA	MILENIUM 00-08		30001531.MPG								MILENIUM 00-08		3:59.177	0:00.000	3:56.722	0:27.195									3:56.281	0		61		A					128	MPEG L3-44JP					-31568	1497261684	1203974943
ELENA RISTESKA				MOGLI SMO	RECURENT 08-14		30002132.MPG								RECURENT 08-14		3:42.249	0:00.000	3:40.694	0:11.155									3:39.692	0		65		A					192	MPEG L3-44JP					-31568	-313221328	1264422305
ELITNI ODREDI				NISTA VISE	RECURENT 08-14		30001914.MPG								RECURENT 08-14	ANA MASULOVIC	3:05.495	0:00.000	3:02.187	0:20.897									3:00.287	0		68		A					128	MPEG L3-44JP					-31568	-332119166	1229966376
ELLA HENDERSON				GHOST	RECURENT 08-14		30002792.MPG								RECURENT 08-14		3:32.275	0:00.000	3:31.926	0:00.021									3:30.882	0				A						WAVE-44S				20/11/2014	-31568	2140942902	1416472666
ELLIE GOULDING				BURN	RECURENT 08-14		30002802.MPG								RECURENT 08-14		3:49.041	0:00.000	3:48.430	0:10.888									3:47.586	0				A						WAVE-44S				20/11/2014	-31568	-328185205	1416475573
EL RITHMO				HODAMO PO ZVEZDAMA	A1 CURENT		30001913.MPG								A1 CURENT		3:21.433	0:00.000	3:21.170	0:17.744									3:21.129	0		66		A					320	MPEG L3-44SP					-31568	593061001	1400079975
ELTON JOHN				SACRIFICE	80		30002718.MPG								80		5:08.488	0:00.000	5:01.474	0:16.811									4:59.199	0				A					128	MPEG L3-44JP				19/11/2014	-31568	-132888028	1227912779
ELTON JOHN				NIKITA	80		30002650.MPG								80		5:42.444	0:00.000	5:38.361	0:23.022									5:24.515	0				A					192	MPEG L3-44JP				23/11/2014	-31568	-2023548983	1163612017
ELVIS PRESLEY				LOVE ME TENDER	80		30002676.MPG								80		2:41.593	0:00.000	2:41.593	0:02.979									2:37.403	0				A					128	MPEG L3-44SP				19/11/2014	-31568	1413669404	1227597440
ELVIS PRESLEY				ALWAYS ON MY MIND	80		30002739.MPG								80		3:34.155	0:00.000	3:34.155	0:06.668									3:30.501	0				A					256	MPEG L3-44SP				23/11/2014	-31568	-191472581	1416751244
EMELI SANDE				NEXT TO ME	RECURENT 08-14		30002809.MPG								RECURENT 08-14		3:13.937	0:00.000	3:13.937	0:11.445									3:13.363	0				A						WAVE-44S				23/11/2014	-31568	-1379283545	1416752492
EMILIJA KOKIC				TU SAM TI JA	RECURENT 08-14		30001915.MPG								RECURENT 08-14		4:26.448	0:00.382	4:21.155	0:36.028									4:19.954	0		71		A					128	MPEG L3-44JP					-31568	613253478	1213079873
EMILIJA KOKIC				STO MI ZNACIS TI	90		30000312.MPG								90		4:16.791	0:00.000	4:14.731	0:52.871									4:13.153	0		72		A					128	MPEG L3-44JP					-31568	1785407382	993722858
EMILIJA KOKIC				VOPLIM TE TAKO HTIO JE BOG	90		30000313.MPG								90		4:21.250	0:00.000	4:16.487	0:40.143									4:13.383	0		70		A					128	MPEG L3-44J					-31568	-48908103	1162282106
EMINA I DZENAN				BEOGRAD PRICA	RECURENT 08-14		30001916.MPG								RECURENT 08-14		4:13.026	0:00.000	4:12.554	0:25.193									4:10.169	0		61		A					256	MPEG L3-44SP					-31568	1189867781	1410277662
EMINA JAHOVIC				UZALUD SE BUDIM	MILENIUM 00-08		30000314.MPG								MILENIUM 00-08		4:29.296	0:00.000	4:23.837	0:37.076									4:20.747	0		64		A					160	MPEG L3-44JP					-31568	-229674457	1071319326
EMINA JAHOVIC				TVOJA GRESKA	MILENIUM 00-08		30001919.MPG								MILENIUM 00-08		3:11.915	0:00.000	3:07.990	0:24.766									3:07.833	0		70		A					128	MPEG L3-44JP					-31568	-1409250628	1135104408
EMINA JAHOVIC				NIJE VISE TVOJA STVAR	MILENIUM 00-08		30001767.MPG								MILENIUM 00-08		3:13.410	0:00.000	3:09.910	0:01.842									3:08.761	0		64		A					128	MPEG L3-44JP					-31568	682620484	1351876613
EMINA JAHOVIC				OPET SI SA NJOM	A1 CURENT		30001931.MPG								A1 CURENT		3:41.548	0:00.000	3:40.402	0:02.450									3:38.587	0		63		A					256	MPEG L3-44SP					-31568	-1089087608	1390998261
EMINA JAHOVIC				COOL ZENA	RECURENT 08-14		30001928.MPG								RECURENT 08-14		3:41.648	0:00.000	3:38.871	0:22.023									3:37.509	0		63		A					128	MPEG L3-44JP					-31568	1218489896	1223223502
EMINA JAHOVIC				DA MOGU	RECURENT 08-14		30001932.MPG								RECURENT 08-14		3:19.239	0:00.000	3:16.407	0:14.693									3:14.815	0		62		A					320	MPEG L3-44SP					-31568	1097568105	1352371526
EMINA JAHOVIC				NESANICA	A1 CURENT		30001930.MPG								A1 CURENT		3:53.351	0:00.478	3:51.386	0:33.704									3:49.761	0		66		A					128	MPEG L3-44SP					-31568	186898011	1403170530
EMINA JAHOVIC				ZENA ZMAJ	RECURENT 08-14		30001927.MPG								RECURENT 08-14		3:15.221	0:01.359	3:13.960	0:19.595									3:12.040	0		62		A					128	MPEG L3-44JP					-31568	943528142	1371113910
EMINA JAHOVIC				NEDOSTAJES	RECURENT 08-14		30001929.MPG								RECURENT 08-14		4:10.935	0:00.000	4:08.309	0:08.791									4:07.692	0		62		A					320	MPEG L3-44SP					-31568	680441965	1366192344
EMINA JAHOVIC				DAN ZA DANOM	RECURENT 08-14		30001922.MPG								RECURENT 08-14		4:06.674	0:00.000	4:01.517	0:38.408									3:57.803	0		64		A					320	MPEG L3-44JP					-31568	1047868352	1244800057
EMINA JAHOVIC				SKINI RUKE S MOG VRATA	MILENIUM 00-08		30001921.MPG								MILENIUM 00-08		3:14.136	0:00.417	3:08.972	0:24.496									3:06.586	0		67		A					128	MPEG L3-44JP					-31568	-701453311	1135874886
EMINA JAHOVIC				ZVER	RECURENT 08-14		30001926.MPG								RECURENT 08-14		3:15.631	0:00.000	3:12.171	0:04.208									3:11.369	0		65		A					320	MPEG L3-44JP					-31568	-496433305	1244800098
EMINA JAHOVIC				RADIJE, RANIJE	MILENIUM 00-08		30001917.MPG								MILENIUM 00-08		3:21.189	0:00.000	3:16.252	0:18.957									3:13.285	0		67		A					128	MPEG L3-44JP					-31568	1778896927	1135874911
EMINA JAHOVIC				POLA OSTROG NOZA	MILENIUM 00-08		30001920.MPG								MILENIUM 00-08		4:35.638	0:00.423	4:28.450	0:46.078									4:20.883	0		71		A					128	MPEG L3-44JP					-31568	-159905798	1135874879
EMINA JAHOVIC				AJ	RECURENT 08-14		30001925.MPG								RECURENT 08-14		4:01.505	0:00.000	3:56.847	0:48.487									3:56.253	0		64		A					320	MPEG L3-44JP					-31568	1833908340	1246791236
EMINA JAHOVIC				VOLJELA TE IL NE VOLJELA	MILENIUM 00-08		30000315.MPG								MILENIUM 00-08		3:12.865	0:00.750	3:10.240	0:20.071									3:09.371	0		66		A					192	MPEG L3-44SP					-31568	-965380172	1133643144
EMINA JAHOVIC				DAL ONA ZNA	MILENIUM 00-08		30001918.MPG								MILENIUM 00-08		3:36.470	0:00.381	3:32.362	0:40.574									3:31.919	0		67		A					128	MPEG L3-44JP					-31568	950429444	1135874918
EMINA JAHOVIC				NE ZABORAVI	RECURENT 08-14		30001923.MPG								RECURENT 08-14		4:01.031	0:00.000	3:56.238	0:12.345									3:54.658	0		65		A					320	MPEG L3-44JP					-31568	-736935982	1244800052
EMINA JAHOVIC				MED	RECURENT 08-14		30001924.MPG								RECURENT 08-14		3:38.305	0:00.000	3:34.138	0:21.020									3:30.113	0		66		A					320	MPEG L3-44JP					-31568	-907773609	1243337430
EMINEM				THE MONSTER	RECURENT 08-14		30002806.MPG								RECURENT 08-14	RIHANNA	4:10.100	0:00.000	4:10.100	0:00.143									4:08.223	0				A						WAVE-44S				23/11/2014	-31568	-532630835	1416749988
ENERGIE				DEVOJKE PONOS IMAJU	90		30000316.MPG								90		3:42.231	0:00.000	3:40.714	0:29.273									3:40.213	0		68		A					128	MPEG L3-44JP					-31568	1610789633	1002125440
ENERGIE				KISA	90		30000317.MPG								90		3:32.200	0:00.000	3:31.879	0:28.256									3:31.053	0		72		A					128	MPEG L3-44JP					-31568	-1471240332	993722690
ENRIQUE IGLESIAS				RHYTHM DIVINE	MILENIUM 00-08		30002742.MPG								MILENIUM 00-08		3:30.781	0:00.373	3:27.152	0:10.403									3:24.675	0				A					128	MPEG L3-44SP				23/11/2014	-31568	-1770620710	1227629297
ENRIQUE IGLESIAS				BAILAMOS	90		30002632.MPG								90		3:34.935	0:00.067	3:33.434	0:08.588									3:24.610	0				A					192	MPEG L3-44JP				23/11/2014	-31568	761818950	1060091437
EN VOGUE				DON'T LET GO	90		30002651.MPG								90		4:51.975	0:01.052	4:47.617	0:08.327									4:33.661	0				A					192	MPEG L3-44JP				23/11/2014	-31568	862698004	1163778717
EROS RAMAZZOTTI				APPUNTI E NOTE	RECURENT 08-14		30002474.MPG								RECURENT 08-14		3:51.710	0:00.000	3:51.605	0:15.759									3:50.608	0				A					256	MPEG L3-44SP				19/11/2014	-31568	2066956665	1415807209
EROS RAMAZZOTTI				UN' EMOZIONE PER SEMPRE	MILENIUM 00-08		30002534.MPG								MILENIUM 00-08		3:56.674	0:00.000	3:53.028	0:16.873									3:50.410	0				A					192	MPEG L3-44SP				20/11/2014	-31568	1015030631	1302542446
EROS RAMAZZOTTI				FUOCO NEL FUOCO	MILENIUM 00-08		30002477.MPG								MILENIUM 00-08		4:03.544	0:01.022	4:00.069	0:08.631									3:59.196	0				A					192	MPEG L3-44SP				19/11/2014	-31568	-1329438908	1302542000
EROS RAMAZZOTTI				UN ATTIMO DI PACE	MILENIUM 00-08		30002481.MPG								MILENIUM 00-08		4:37.399	0:01.079	4:26.515	0:11.110									4:25.009	0				A					192	MPEG L3-44SP				19/11/2014	-31568	-1753202411	1302541784
EROS RAMAZZOTTI				PIU BELLA COSA	90		30002601.MPG								90		4:28.256	0:00.000	4:28.256	0:18.356									4:22.703	0				A					192	MPEG L3-44SP				20/11/2014	-31568	-1565518716	1302542642
EROS RAMAZZOTTI				UN ANGELO DISTESO AL SOLE	RECURENT 08-14		30002494.MPG								RECURENT 08-14		3:23.392	0:00.433	3:21.436	0:00.449									3:20.373	0				A					320	MPEG L3-44SP				20/11/2014	-31568	-798256634	1354351372
EROS RAMAZZOTTI				PARLA CON ME	RECURENT 08-14		30002533.MPG								RECURENT 08-14		3:53.643	0:00.000	3:51.360	0:16.513									3:50.714	0				A					256	MPEG L3-44SP				20/11/2014	-31568	-70977990	1415624064
ET				DRUGO IME LJUBAVI	90		30000318.MPG								90		4:18.925	0:00.424	4:13.302	0:16.444									4:08.263	0		67		A					128	MPEG L3-44J					-31568	1348794950	917477732
ET				PROBUDI ME	90		30000319.MPG								90		4:02.912	0:07.265	3:59.575	0:23.887									3:56.589	0		72		A					128	MPEG L3-44J					-31568	-1102860303	917477746
ET				DA TI LJUBAV MOGU DATI	MILENIUM 00-08		30002440.MPG								MILENIUM 00-08	KEMAL MONTENO	4:24.751	0:00.000	4:24.641	0:24.521									4:22.796	0		68		A						WAVE-44S					-31568	-2019365431	1413815325
ET				SVE BIH DALA DA ZNAM	90		30000321.MPG								90		4:18.246	0:00.000	4:10.363	0:41.797									4:09.305	0		69		A					128	MPEG L3-44J					-31568	1571054366	892645816
ET				SAD IDI, BRIGA ME	MILENIUM 00-08		30002443.MPG								MILENIUM 00-08		3:37.437	0:00.000	3:37.355	0:27.402									3:36.745	0		66		A						WAVE-44S					-31568	1142183477	1413815697
ET				KOST U GRLU	MILENIUM 00-08		30002442.MPG								MILENIUM 00-08		4:03.443	0:00.000	4:03.168	0:21.450									4:02.445	0		67		A						WAVE-44S					-31568	2132953130	1413815603
ET				KASNO	MILENIUM 00-08		30002441.MPG								MILENIUM 00-08		3:40.429	0:00.000	3:40.194	0:19.874									3:39.724	0		67		A						WAVE-44S					-31568	1018818083	1413815498
ET				TEK JE 12 SATI	90		30000322.MPG								90		4:35.095	0:00.450	4:29.688	0:55.515									4:26.307	0		70		A					128	MPEG L3-44J					-31568	884464475	914970528
ET				STVORENA ZA TEBE	90		30000320.MPG								90		4:38.491	0:00.000	4:35.472	0:31.267									4:35.243	0		69		A					160	MPEG L3-44JP					-31568	-1612005725	1071145336
EUROPE				THE FINAL COUNTDOWN	80		30002463.MPG								80		5:09.112	0:00.379	5:05.634	1:27.079									5:03.480	0				A					192	MPEG L3-44JP				19/11/2014	-31568	-1080480508	1163613170
EURYTHMICS				SWEET DREAMS	80		30002522.MPG								80		4:52.292	0:00.269	4:47.679	0:27.067									4:46.003	0				A					128	MPEG L3-44JP				20/11/2014	-31568	1742903635	1106675118
EXTRA NENA				LJUBIM TE PESMAMA	90		30000323.MPG								90		3:04.189	0:00.000	2:59.231	0:04.150									2:58.514	0		71		A					128	MPEG L3-44JP					-31568	-387921439	1013842248
FADDY				CIPELE	MILENIUM 00-08		30001937.MPG								MILENIUM 00-08		3:04.476	0:00.000	3:00.593	0:20.024									2:59.687	0		63		A					256	MPEG L3-44SP					-31568	1522683133	1142170065
FALCO				JEANNY	80		30002729.MPG								80		5:56.422	0:03.432	5:49.497	0:42.062									5:47.014	0				A					128	MPEG L3-44JP				20/11/2014	-31568	1172413050	1227799633
FALCO				OUT OF THE DARK	90		30002731.MPG								90		3:35.248	0:00.000	3:33.432	0:21.078									3:32.461	0				A					128	MPEG L3-44J				20/11/2014	-31568	1822929837	1227804533
FAMILIJA				NIJE MI NISTA	90		30000324.MPG								90		2:17.978	0:00.000	2:15.099	0:10.853									2:14.082	0		73		A					128	MPEG L3-44J					-31568	1134567194	1293805851
FANKY G				TEBI	90		30001070.MPG								90		3:20.105	0:00.000	3:13.691	0:24.185									3:13.240	0		62		A					128	MPEG L3-44JP					-31568	-82961653	1295766955
FAT BOY'S				THE TWINS	80		30002698.MPG								80		4:05.532	0:00.503	4:03.912	0:03.219									4:03.158	0				A					128	MPEG L3-44JP				19/11/2014	-31568	-726100044	1032210964
FEELING BAND				NEPOZVANA	A1 CURENT		30001939.MPG								A1 CURENT		3:57.430	0:00.000	3:54.844	0:19.943									3:51.731	0		68		A					320	MPEG L3-44SP					-31568	775581542	1398786783
FEMINNEM				1000000 RAZLOGA	RECURENT 08-14		30001940.MPG								RECURENT 08-14		3:13.522	0:00.000	3:11.176	0:02.774									3:11.077	0		63		A					320	MPEG L3-44SP					-31568	294474437	1268454688
FILIP PEJOVIC				NEDOVOLJAN	RECURENT 08-14		30001941.MPG								RECURENT 08-14		4:00.017	0:00.000	3:57.894	0:16.620									3:56.124	0		66		A					256	MPEG L3-44SP					-31568	470063838	1208268636
FILIP ZMAHER				HILJADU GODINA	90		30000326.MPG								90		4:54.504	0:00.000	4:49.986	0:27.031									4:47.814	0		68		A					160	MPEG L3-44JP					-31568	1180330965	1065725102
FILIP ZMAHER				CEKAO SAM MALU	90		30000325.MPG								90		3:54.501	0:00.000	3:52.238	0:14.653									3:51.757	0		64		A					160	MPEG L3-44JP					-31568	-1662142115	1065725222
FILIP ZMAHER				POROK	90		30000327.MPG								90		3:33.524	0:00.000	3:29.972	0:15.572									3:28.572	0		64		A					160	MPEG L3-44JP					-31568	-778679572	1065725024
FILM				GOLUBOVE HRANIM	90		30000329.MPG								90		4:07.797	0:00.388	4:02.308	0:27.473									3:55.590	0		74		A					128	MPEG L3-44JP					-31568	964554302	988859582
FILM				MOG ANDJELA VISE NEMA	90		30000330.MPG								90		4:09.656	0:00.000	4:08.628	0:16.540									4:07.042	0		73		A					256	MPEG L3-44SP					-31568	-618652043	1414658954
FILM				BOJE SU U NAMA	80		30000328.MPG								80		3:53.012	0:27.568	3:47.848	0:42.904									3:39.960	0		73		A					160	MPEG L3-44JP					-31568	904543616	1064998144
FILM				NA MORSKOME PLAVOM ZALU	90		30000331.MPG								90		3:17.885	0:00.000	3:17.885	0:16.588									3:14.817	0		64		A					128	MPEG L3-44JP					-31568	-1284133777	1042922560
FILM				NJEZNO, NJEZNO, NJEZNIJE	90		30000332.MPG								90		3:05.600	0:00.407	3:01.039	0:19.049									2:59.381	0		75		A					160	MPEG L3-44JP					-31568	342578859	1064999254
FILM				SJECAM SE PRVOG POLJUPCA	80		30000333.MPG								80		4:26.191	0:00.000	4:25.616	0:37.200									4:24.607	0		74		A					256	MPEG L3-44SP					-31568	-205030704	1414336081
FINE YOUNG CANNIBALS				SHE DRIVES ME CRAZY	80		30002621.MPG								80		3:36.377	0:00.389	3:33.437	0:22.445									3:25.131	0				A					192	MPEG L3-44JP				23/11/2014	-31568	751831286	1163696324
FISTIK				GODINA ZA GODINOM	MILENIUM 00-08		30000334.MPG								MILENIUM 00-08		3:40.813	0:00.242	3:38.510	0:22.525									3:34.704	0		64		A					128	MPEG L3-44SP					-31568	445670024	1056137374
FIT				ZABORAVIT CU SVE	80		30000335.MPG								80		3:30.912	0:00.033	3:28.546	0:27.101									3:23.886	0		67		A					128	MPEG L3-44SP					-31568	-410387598	1056148106
FLAME				PUCINA	90		30000336.MPG								90		3:35.379	0:01.080	3:29.926	0:23.540									3:24.459	0		65		A					128	MPEG L3-44SP					-31568	-15284768	1056141288
FLAME				TI AMO	90		30000337.MPG								90		3:15.500	0:01.623	3:11.159	0:24.048									3:09.106	0		64		A					128	MPEG L3-44SP					-31568	-1480561875	1056141334
FLAMINGOSI				OBALA	MILENIUM 00-08		30000015.MPG								MILENIUM 00-08		3:59.960	0:00.188	3:55.019	0:14.007									3:50.507	0		62		A					160	MPEG L3-44J					-31568	-1182306765	1120316485
FLAMINGOSI				RUSKA	MILENIUM 00-08		30000021.MPG								MILENIUM 00-08		4:53.955	0:00.276	4:51.139	0:34.319									4:49.342	0		63		A					160	MPEG L3-44J					-31568	2145353274	1120316521
FLAMINGOSI				NISI KRIVA TI	RECURENT 08-14		30001943.MPG								RECURENT 08-14		3:29.870	0:00.131	3:27.158	0:15.208									3:14.531	0		65		A					320	MPEG L3-44SP					-31568	-287420130	1310635591
FLAMINGOSI				TI I JA	MILENIUM 00-08		30002303.MPG								MILENIUM 00-08	KAROLINA	4:14.589	0:01.954	4:14.589	0:09.774									4:13.092	0		61		A					128	MPEG L3-44SP					-31568	126958929	1166296434
FLAMINGOSI				LITAR VINA	RECURENT 08-14		30001942.MPG								RECURENT 08-14		2:58.968	0:00.140	2:56.502	0:15.911									2:49.282	0		64		A					320	MPEG L3-44SP					-31568	-299892705	1310635637
FLAMINGOSI				LJUBAV	MILENIUM 00-08		30000007.MPG								MILENIUM 00-08		3:14.951	0:00.244	3:10.927	0:13.716									3:03.489	0		59		A					160	MPEG L3-44J					-31568	-1862230992	1120316455
FLAMINGOSI				POLJUPCI (USNE)	RECURENT 08-14		30002188.MPG								RECURENT 08-14		3:23.284	0:00.095	3:23.284										3:17.418	0		59		A					128	MPEG L3-44SP					-31568	-824461895	1166295482
FLAMINGOSI				SA TOBOM BILO GDE	RECURENT 08-14		30002215.MPG								RECURENT 08-14		3:17.381	0:00.030	3:16.374	0:04.267									3:12.817	0		60		A					320	MPEG L3-44SP					-31568	935557729	1367580172
FLAMINGOSI				LA ITANA	RECURENT 08-14		30001946.MPG								RECURENT 08-14	EMINA JAHOVIC	3:23.888	0:00.015	3:22.235	0:02.204									3:20.765	0		72		A					320	MPEG L3-44SP					-31568	-992635187	1166207775
FLAMINGOSI				UZMI ILI OSTAVI	RECURENT 08-14		30001945.MPG								RECURENT 08-14		3:19.340	0:00.562	3:16.451	0:01.749									3:10.048	0		64		A					320	MPEG L3-44SP					-31568	345399150	1316431103
FLAMINGOSI				HIT (SLADOLED)	RECURENT 08-14		30001944.MPG								RECURENT 08-14		2:55.751	0:00.096	2:53.306	0:16.325									2:46.947	0		64		A					320	MPEG L3-44SP					-31568	449489044	1308047132
FLAMINGOSI				ZDRAVKO COLIC	MILENIUM 00-08		30000036.MPG								MILENIUM 00-08		3:12.126	0:00.000	3:12.126	0:09.631									3:07.240	0		67		A					192	MPEG L3-44SP					-31568	325590708	1129931719
FOKUS				SAMO JEDNOM NIJE DOVOLJNO	90		30000338.MPG								90		4:14.675	0:12.211	4:13.218	0:42.023									4:04.099	0		72		A					128	MPEG L3-44JP					-31568	-576500706	1015342488
FRANKIE GOES TO HOLLYWOOD				RELAX	80		30002622.MPG								80		3:51.737	0:00.000	3:51.589	0:02.905									3:49.591	0				A					192	MPEG L3-44JP				23/11/2014	-31568	2051264439	1163531325
FRANO LASIC				ZAGRLJENI	80		30000341.MPG								80		3:10.432	0:00.059	3:08.291	0:18.351									3:01.935	0		67		A					160	MPEG L3-44JP					-31568	783270597	1065722138
FRANO LASIC				DOBRO JUTRO	80		30000339.MPG								80		3:32.062	0:00.166	3:30.347	0:12.926									3:22.704	0		69		A					160	MPEG L3-44JP					-31568	802259993	1065721954
FRANO LASIC				VOLIM TE BUDALO MALA	80		30000340.MPG								80		3:20.019	0:00.000	3:18.243	0:37.235									3:13.322	0		70		A					160	MPEG L3-44JP					-31568	1011954785	1065721738
FREDDY MERCURY				LIVING ON MY OWN	80		30002677.MPG								80		5:17.262	0:02.632	5:11.938	0:06.110									5:10.898	0				A					192	MPEG L3-44JP				19/11/2014	-31568	-1231318442	1163747286
FRENKI				NIZ VITOVU ULICU	90		30000342.MPG								90		4:29.696	0:01.352	4:23.295	0:24.385									4:09.813	0		64		A					128	MPEG L3-44JP					-31568	-747994248	1267456972
FRENKY				OSTANI	90		30000343.MPG								90		4:10.435	0:00.117	4:07.635	0:30.022									4:03.662	0		69		A					128	MPEG L3-44SP					-31568	1260095461	1056138462
FUNKY G				SEX	90		30000345.MPG								90		4:32.875	0:11.759	4:28.973	0:28.757									4:21.062	0		73		A					128	MPEG L3-44SP					-31568	1581241048	1056143846
FUNKY G				NJEN GRAD	90		30000344.MPG								90		4:35.461	0:00.388	4:32.386	0:34.210									4:20.169	0		77		A					128	MPEG L3-44SP					-31568	-194068231	1056141878
FUNKY G				U TVOJIM KOLIMA	MILENIUM 00-08		30001947.MPG								MILENIUM 00-08	JUICE	4:01.371	0:13.389	3:54.699	0:48.793									3:51.068	0		72		A					128	MPEG L3-44JP					-31568	-1716974211	1136307960
FUNKY HOUSE BAND				RIBE DA BRZE MRDAJU GUZE	90		30000347.MPG								90		4:57.069	0:00.000	4:57.069	0:07.332									4:56.534	0		69		A					192	MPEG L3-44SP					-31568	1232642720	1081227948
FUNKY HOUSE BAND				DANI ZA PLAKANJE	90		30000346.MPG								90		4:43.902	0:00.000	4:43.729	0:17.052									4:41.577	0		74		A					256	MPEG L3-44SP					-31568	-29260130	1414768570
GABY NOVAK				SRETAN PUT	80		30001500.MPG								80		3:43.690	0:00.210	3:38.551	0:35.122									3:30.366	0		67		A					256	MPEG L3-44SP					-31568	1046268026	1322164344
